molecule_chembl_id,canonical_smiles,bioactivity,disease,target_chembl_id,target_name,MoleculeWeight,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL5200654,CC(C)=CCC[C@](C)(O)C1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,inactive,coronavirus,CHEMBL5209664,Murine coronavirus,785.0250000000002,2.149000000000002,9,13,5.0
CHEMBL5200654,CC(C)=CCC[C@](C)(O)C1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,inactive,coronavirus,CHEMBL5209664,Murine coronavirus,785.0250000000002,2.149000000000002,9,13,5.0
CHEMBL1773987,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C,inactive,coronavirus,CHEMBL5209664,Murine coronavirus,801.0240000000006,1.1198000000000035,10,14,5.0
CHEMBL439677,CC(=O)/C=C/c1cccc(O)c1O,active,diabetes,CHEMBL1914266,Islet amyloid polypeptide,178.18699999999998,1.7000000000000002,2,3,6.096910013008056
CHEMBL4877746,CCC(=O)/C=C/c1cccc(O)c1O,active,diabetes,CHEMBL1914266,Islet amyloid polypeptide,192.21399999999997,2.0901000000000014,2,3,6.096910013008056
CHEMBL4853313,CCCC(=O)/C=C/c1cccc(O)c1O,active,diabetes,CHEMBL1914266,Islet amyloid polypeptide,206.24099999999999,2.4802000000000017,2,3,6.096910013008056
CHEMBL4866117,CCCCC(=O)/C=C/c1cccc(O)c1O,active,diabetes,CHEMBL1914266,Islet amyloid polypeptide,220.268,2.870300000000002,2,3,6.154901959985743
CHEMBL4877565,CC(=O)CCc1ccc(O)c(O)c1,inactive,diabetes,CHEMBL1914266,Islet amyloid polypeptide,180.203,1.6194,2,3,5.0
CHEMBL327767,CCCc1cc(Oc2ccc(CC(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,533.6900000000003,7.501900000000008,1,6,6.536107011014093
CHEMBL94496,CCCc1cc(Oc2ccc(C(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,519.6630000000004,7.426800000000006,1,6,6.769551078621726
CHEMBL420441,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,512.0270000000004,6.956800000000006,1,6,7.136677139879544
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,357.435,2.490900000000001,1,6,6.6020599913279625
CHEMBL330191,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,491.6090000000002,6.693500000000006,1,6,6.709965388637482
CHEMBL300629,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,477.58200000000016,6.303400000000005,1,6,6.7447274948966935
CHEMBL328615,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,526.0540000000003,7.265220000000006,1,6,7.251811972993799
CHEMBL96107,O=C1NC(=O)C(c2cccc(OCCCOc3ccc(Oc4ccccc4)cc3)c2)S1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,435.50100000000003,5.350900000000004,1,6,7.119186407719209
CHEMBL94397,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,493.58100000000024,6.009000000000005,2,7,7.522878745280337
CHEMBL97529,CCCc1cc(Oc2ccc(C3CCCC3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,545.7010000000002,7.9610000000000065,1,6,6.481486060122113
CHEMBL96758,CCCc1cc(Oc2ccc(-c3ccccc3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,553.6800000000003,7.970400000000007,1,6,6.645891560852599
CHEMBL96143,CCCc1cc(Oc2ccc(F)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,509.5990000000003,6.750920000000005,1,6,7.107905397309519
CHEMBL94716,CCCc1cc(Oc2ccc(C(C)(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,533.6900000000003,7.600900000000007,1,6,6.474955192963154
CHEMBL96451,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,495.5720000000003,6.442500000000005,1,6,7.113509274827518
CHEMBL92130,CCCc1cc(Oc2ccc(OC)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,507.6080000000003,6.312000000000006,1,7,6.522878745280337
CHEMBL318684,CCCc1cc(Oc2ccc(Cl)c(Cl)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,546.4720000000003,7.610200000000006,1,6,7.1938200260161125
CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,477.58200000000016,6.303400000000005,1,6,7.2441251443275085
CHEMBL81248,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@](C)(Oc2ccccc2)C(=O)O)cc1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,457.5260000000002,5.736320000000005,1,5,7.853871964321762
CHEMBL82034,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(C)(Oc2ccccc2)C(=O)O)cc1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,457.5260000000002,5.736320000000005,1,5,7.7447274948966935
CHEMBL81208,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC(Oc2ccccc2)C(=O)O)cc1,active,diabetes,CHEMBL235,Peroxisome proliferator-activated receptor gamma,443.49900000000014,5.346220000000004,1,5,6.892790030352131
